ID	103post	103pre	104post	104pre	107post	107pre	109post	109pre	111post	111pre	116post	116pre	118post	118pre	119post	119pre	123post	123pre	124post	124pre	127post	127pre	130post	130pre	133post	133pre	138post	138pre	139post	139pre	140post	140pre
7f872c64e0f1619e2b8e537ac413a674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2e95fd11da45c34ee1cb0f946117cb48	0	0	37	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
191a69529c91c6bc3f1f0e8c560424a9	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	21	15	0	0	0	50	5	0	0	0	0	0	0	0	22	9
acc10c7fb85bf4bdd451a7d4c13c15bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80cef54718b8b3b053e81320def20ea5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04a79736420e423d4cd6043253521d58	0	0	0	0	0	0	40	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
8e2e4a136a9c88493273398ce4b9ab28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
177a3f71aabe7f12640a993eaac36069	0	0	0	0	0	0	53	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2abcf003788d23bd2e0506a728d67415	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	11	20	0	0	0	14	0	0	0	0	0	0	0	0	0	0
36009a1a784a332284124f870270d589	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	5	0	0
d4f70b1fb46b3e8c80435163c993304d	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
55bfb2bcd8927eb6606df96d2643c987	0	0	65	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	8	0	0
